Algorithme;Coupe min;Nombre de contractions
karger_improved;12;17
karger_recursive;15;8
karger;0;16
karger_improved;0;58
karger_recursive;0;18
karger;0;5
karger_improved;0;7
karger_recursive;0;5
karger;24;20
karger_improved;5;85
karger_recursive;8;24
karger;11;24
karger_improved;4;124
karger_recursive;34;30
karger;7;6
karger_improved;7;11
karger_recursive;12;6
karger;90;36
karger_improved;8;260
karger_recursive;12;46
karger;17;18
karger_improved;11;76
karger_recursive;11;22
karger;0;6
karger_improved;0;11
karger_recursive;0;6
karger;5;7
karger_improved;2;15
karger_recursive;3;7
karger;36;29
karger_improved;20;164
karger_recursive;102;37
karger;1;0
karger_improved;1;0
karger_recursive;1;0
karger;8;15
karger_improved;1;57
karger_recursive;2;17
karger;10;6
karger_improved;3;11
karger_recursive;7;6
karger;6;5
karger_improved;5;7
karger_recursive;11;5
karger;15;14
karger_improved;28;41
karger_recursive;15;16
karger;2;35
karger_improved;1;259
karger_recursive;2;45
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;2;4
karger_improved;3;6
karger_recursive;2;4
karger;0;25
karger_improved;0;68
karger_recursive;0;25
karger;15;15
karger_improved;4;57
karger_recursive;5;17
karger;0;4
karger_improved;0;5
karger_recursive;0;4
karger;29;14
karger_improved;13;41
karger_recursive;8;16
karger;0;2
karger_improved;0;2
karger_recursive;0;2
karger;3;2
karger_improved;3;2
karger_recursive;3;2
karger;0;24
karger_improved;0;124
karger_recursive;0;30
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;0;12
karger_improved;0;16
karger_recursive;0;12
karger;18;18
karger_improved;3;76
karger_recursive;3;22
karger;0;4
karger_improved;0;5
karger_recursive;0;4
karger;3;3
karger_improved;3;4
karger_recursive;4;3
karger;30;9
karger_improved;10;18
karger_recursive;28;9
karger;22;12
karger_improved;6;35
karger_recursive;21;12
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;1;6
karger_improved;1;11
karger_recursive;1;6
karger;19;27
karger_improved;12;161
karger_recursive;92;33
karger;4;4
karger_improved;6;6
karger_recursive;5;4
karger;25;26
karger_improved;47;157
karger_recursive;104;32
karger;136;33
karger_improved;14;191
karger_recursive;60;43
karger;203;27
karger_improved;28;161
karger_recursive;28;33
karger;1;14
karger_improved;1;41
karger_recursive;1;16
karger;89;19
karger_improved;35;77
karger_recursive;31;23
karger;0;4
karger_improved;0;4
karger_recursive;0;4
karger;306;36
karger_improved;30;260
karger_recursive;117;46
karger;119;38
karger_improved;22;326
karger_recursive;255;50
karger;34;12
karger_improved;16;35
karger_recursive;34;12
karger;4;15
karger_improved;1;57
karger_recursive;1;17
karger;32;21
karger_improved;5;89
karger_recursive;35;25
karger;9;6
karger_improved;7;11
karger_recursive;11;6
karger;1;1
karger_improved;1;1
karger_recursive;1;1
karger;16;14
karger_improved;2;41
karger_recursive;7;16
karger;169;31
karger_improved;19;188
karger_recursive;22;39
karger;90;17
karger_improved;18;74
karger_recursive;48;19
karger;29;12
karger_improved;11;35
karger_recursive;44;12
karger;132;25
karger_improved;38;156
karger_recursive;73;31
karger;38;30
karger_improved;24;180
karger_recursive;23;38
karger;51;23
karger_improved;13;122
karger_recursive;80;29
karger;16;14
karger_improved;2;41
karger_recursive;9;16
karger;145;35
karger_improved;16;259
karger_recursive;116;45
karger;0;27
karger_improved;0;92
karger_recursive;0;27
karger;8;22
karger_improved;1;90
karger_recursive;1;26
karger;109;26
karger_improved;11;157
karger_recursive;51;32
karger;144;23
karger_improved;20;122
karger_recursive;24;29
karger;221;28
karger_improved;29;163
karger_recursive;119;36
karger;79;24
karger_improved;9;124
karger_recursive;68;30
karger;41;26
karger_improved;6;157
karger_recursive;8;32
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;0;25
karger_improved;0;97
karger_recursive;0;27
karger;137;31
karger_improved;26;188
karger_recursive;26;39
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;8;13
karger_improved;16;39
karger_recursive;7;15
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;98;30
karger_improved;23;180
karger_recursive;166;38
karger;6;11
karger_improved;3;34
karger_recursive;6;11
karger;189;37
karger_improved;25;324
karger_recursive;102;47
karger;42;37
karger_improved;14;324
karger_recursive;112;47
karger;12;7
karger_improved;6;15
karger_recursive;16;7
karger;0;4
karger_improved;0;5
karger_recursive;0;4
karger;102;23
karger_improved;20;122
karger_recursive;49;29
karger;127;25
karger_improved;17;156
karger_recursive;53;31
karger;0;5
karger_improved;0;7
karger_recursive;0;5
karger;0;9
karger_improved;0;9
karger_recursive;0;9
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;38;37
karger_improved;34;324
karger_recursive;65;47
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;6;8
karger_improved;8;17
karger_recursive;16;8
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;4;13
karger_improved;7;39
karger_recursive;9;15
karger;7;13
karger_improved;1;39
karger_recursive;2;15
karger;0;29
karger_improved;0;164
karger_recursive;0;37
karger;31;15
karger_improved;11;57
karger_recursive;24;17
karger;189;36
karger_improved;14;260
karger_recursive;73;46
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;0;27
karger_improved;0;100
karger_recursive;0;29
karger;52;25
karger_improved;7;156
karger_recursive;25;31
karger;33;20
karger_improved;10;85
karger_recursive;12;24
karger;6;5
karger_improved;10;7
karger_recursive;10;5
karger;6;32
karger_improved;2;190
karger_recursive;17;40
karger;57;37
karger_improved;25;324
karger_recursive;136;47
karger;3;2
karger_improved;3;2
karger_recursive;3;2
karger;4;34
karger_improved;1;255
karger_recursive;2;44
karger;5;10
karger_improved;2;26
karger_recursive;10;10
karger;89;37
karger_improved;25;324
karger_recursive;134;47
karger;1;28
karger_improved;1;163
karger_recursive;3;36
karger;38;18
karger_improved;3;76
karger_recursive;25;22
karger;5;11
karger_improved;5;34
karger_recursive;6;11
karger;47;19
