a;Coupe min;Nombre de contractions;Rapport
2,6;12;19;0,631578947
2,7;12;19;0,631578947
2,8;11;19;0,578947368
2,9;43;18;2,388888889
3;23;18;1,277777778
3,1;44;18;2,444444444
3,2;51;18;2,833333333
3,3;13;18;0,722222222
3,4;43;18;2,388888889
3,5;57;17;3,352941176
3,6;13;17;0,764705882
3,7;14;17;0,823529412
3,8;13;17;0,764705882
3,9;45;17;2,647058824
4;55;17;3,235294118
4,1;27;17;1,588235294
4,3;60;16;3,75
4,5;25;16;1,5625
4,6;33;16;2,0625
4,8;60;16;3,75
5;13;16;0,8125
1,1;0;31;0
1,2;0;16;0
1,3;0;10;0
1,4;0;10;0
1,5;0;7;0
1,6;0;7;0
1,7;0;7;0
1,8;0;6;0
1,9;0;6;0
2;0;6;0
2,1;0;6;0
2,2;0;6;0
2,3;0;6;0
2,4;0;5;0
2,5;0;5;0
2,6;0;5;0
2,7;0;5;0
2,8;0;5;0
2,9;0;5;0
3;0;5;0
3,1;0;5;0
3,2;0;5;0
3,3;0;5;0
3,4;0;5;0
3,5;0;5;0
3,6;0;5;0
3,7;0;5;0
3,8;0;5;0
3,9;0;5;0
4;0;5;0
4,1;0;5;0
4,3;0;5;0
4,5;0;5;0
4,6;0;5;0
4,8;0;5;0
5;0;5;0
1,1;10;32897;0,000303979
1,2;10;1169;0,00855432
1,3;14;217;0,064516129
1,4;11;124;0,088709677
1,5;12;93;0,129032258
1,6;13;72;0,180555556
1,7;11;57;0,192982456
1,8;56;50;1,12
1,9;10;47;0,212765957
2;25;47;0,531914894
2,1;49;40;1,225
2,2;80;37;2,162162162
2,3;27;37;0,72972973
2,4;23;36;0,638888889
2,5;29;36;0,805555556
2,6;26;33;0,787878788
2,7;49;33;1,484848485
2,8;67;33;2,03030303
2,9;58;30;1,933333333
3;95;30;3,166666667
3,1;63;30;2,1
3,2;27;30;0,9
3,3;13;29;0,448275862
3,4;75;29;2,586206897
3,5;40;29;1,379310345
3,6;96;29;3,310344828
3,7;97;29;3,344827586
3,8;65;28;2,321428571
3,9;14;28;0,5
4;79;28;2,821428571
4,1;16;28;0,571428571
4,3;12;28;0,428571429
4,5;16;27;0,592592593
4,6;16;27;0,592592593
4,8;51;27;1,888888889
5;90;27;3,333333333
1,1;0;0;#DIV/0!
1,2;0;0;#DIV/0!
1,3;0;0;#DIV/0!
1,4;0;0;#DIV/0!
1,5;0;0;#DIV/0!
1,6;0;0;#DIV/0!
1,7;0;0;#DIV/0!
1,8;0;0;#DIV/0!
1,9;0;0;#DIV/0!
2;0;0;#DIV/0!
2,1;0;0;#DIV/0!
2,2;0;0;#DIV/0!
2,3;0;0;#DIV/0!
2,4;0;0;#DIV/0!
2,5;0;0;#DIV/0!
2,6;0;0;#DIV/0!
2,7;0;0;#DIV/0!
2,8;0;0;#DIV/0!
2,9;0;0;#DIV/0!
3;0;0;#DIV/0!
3,1;0;0;#DIV/0!
3,2;0;0;#DIV/0!
3,3;0;0;#DIV/0!
3,4;0;0;#DIV/0!
3,5;0;0;#DIV/0!
3,6;0;0;#DIV/0!
3,7;0;0;#DIV/0!
3,8;0;0;#DIV/0!
3,9;0;0;#DIV/0!
4;0;0;#DIV/0!
4,1;0;0;#DIV/0!
4,3;0;0;#DIV/0!
4,5;0;0;#DIV/0!
4,6;0;0;#DIV/0!
4,8;0;0;#DIV/0!
5;0;0;#DIV/0!
1,1;10;2054;0,004868549
1,2;10;273;0,036630037
1,3;11;86;0,127906977
1,4;33;53;0,622641509
1,5;12;38;0,315789474
1,6;21;31;0,677419355
1,7;34;27;1,259259259
1,8;24;24;1
1,9;21;24;0,875
2;21;24;0,875
2,1;12;21;0,571428571
2,2;39;21;1,857142857
2,3;27;18;1,5
2,4;45;18;2,5
2,5;24;18;1,333333333
2,6;40;18;2,222222222
2,7;48;17;2,823529412
2,8;40;17;2,352941176
2,9;23;17;1,352941176
3;35;17;2,058823529
3,1;13;17;0,764705882
3,2;14;16;0,875
3,3;23;16;1,4375
3,4;48;16;3
3,5;26;16;1,625
3,6;22;16;1,375
3,7;54;16;3,375
3,8;52;16;3,25
3,9;47;16;2,9375
4;12;16;0,75
4,1;30;15;2
4,3;48;15;3,2
4,5;25;15;1,666666667
4,6;13;15;0,866666667
4,8;42;15;2,8
5;45;15;3
1,1;1;512;0,001953125
1,2;1;134;0,007462687
1,3;2;41;0,048780488
1,4;3;26;0,115384615
1,5;1;26;0,038461538
1,6;1;19;0,052631579
1,7;2;19;0,105263158
1,8;1;16;0,0625
1,9;1;16;0,0625
2;1;16;0,0625
2,1;1;13;0,076923077
2,2;6;13;0,461538462
2,3;3;13;0,230769231
2,4;1;13;0,076923077
2,5;3;12;0,25
2,6;4;12;0,333333333
2,7;3;12;0,25
2,8;7;12;0,583333333
2,9;4;12;0,333333333
3;6;12;0,5
3,1;2;11;0,181818182
3,2;5;11;0,454545455
3,3;5;11;0,454545455
3,4;4;11;0,363636364
3,5;4;11;0,363636364
3,6;1;11;0,090909091
3,7;3;11;0,272727273
3,8;3;11;0,272727273
3,9;3;11;0,272727273
4;4;11;0,363636364
4,1;3;10;0,3
4,3;3;10;0,3
4,5;6;10;0,6
4,6;7;10;0,7
4,8;2;10;0,2
5;3;10;0,3
1,1;0;3;0
1,2;0;2;0
1,3;0;2;0
1,4;0;2;0
1,5;0;2;0
1,6;0;2;0
1,7;0;2;0
1,8;0;2;0
1,9;0;2;0
2;0;2;0
2,1;0;2;0
2,2;0;2;0
2,3;0;2;0
2,4;0;2;0
2,5;0;2;0
2,6;0;2;0
2,7;0;2;0
2,8;0;2;0
2,9;0;2;0
3;0;2;0
3,1;0;2;0
3,2;0;2;0
3,3;0;2;0
3,4;0;2;0
3,5;0;2;0
3,6;0;2;0
3,7;0;2;0
3,8;0;2;0
3,9;0;2;0
4;0;2;0
4,1;0;2;0
4,3;0;2;0
4,5;0;2;0
4,6;0;2;0
4,8;0;2;0
5;0;2;0
1,1;3;16447;0,000182404
1,2;4;1096;0,003649635
1,3;3;182;0,016483516
1,4;5;113;0,044247788
1,5;3;82;0,036585366
1,6;4;53;0,075471698
1,7;4;50;0,08
1,8;4;43;0,093023256
1,9;7;43;0,162790698
2;6;36;0,166666667
2,1;4;33;0,121212121
2,2;6;33;0,181818182
2,3;6;33;0,181818182
2,4;11;30;0,366666667
2,5;10;30;0,333333333
2,6;29;29;1
2,7;21;27;0,777777778
2,8;23;27;0,851851852
2,9;4;26;0,153846154
3;11;26;0,423076923
3,1;7;26;0,269230769
3,2;33;26;1,269230769
3,3;23;25;0,92
3,4;36;25;1,44
3,5;7;25;0,28
3,6;6;25;0,24
3,7;9;25;0,36
3,8;14;25;0,56
3,9;33;24;1,375
4;34;24;1,416666667
4,1;33;24;1,375
4,3;3;24;0,125
4,5;5;24;0,208333333
4,6;12;24;0,5
4,8;6;23;0,260869565
5;8;23;0,347826087
1,1;2;15;0,133333333
1,2;4;15;0,266666667
1,3;5;8;0,625
1,4;2;6;0,333333333
1,5;7;6;1,166666667
1,6;4;5;0,8
1,7;5;5;1
1,8;4;5;0,8
1,9;4;5;0,8
2;2;5;0,4
2,1;6;4;1,5
2,2;7;4;1,75
2,3;5;4;1,25
2,4;7;4;1,75
2,5;7;4;1,75
2,6;4;4;1
2,7;4;4;1
2,8;2;4;0,5
2,9;7;4;1,75
3;7;4;1,75
3,1;2;4;0,5
3,2;4;4;1
3,3;5;4;1,25
3,4;7;4;1,75
3,5;6;4;1,5
3,6;7;4;1,75
3,7;4;4;1
3,8;7;4;1,75
3,9;5;4;1,25
4;2;4;0,5
4,1;7;4;1,75
4,3;2;4;0,5
4,5;5;4;1,25
4,6;5;4;1,25
4,8;6;4;1,5
5;5;4;1,25
1,1;6;256;0,0234375
1,2;5;70;0,071428571
1,3;5;39;0,128205128
1,4;8;24;0,333333333
1,5;5;18;0,277777778
1,6;7;15;0,466666667
1,7;7;15;0,466666667
1,8;6;15;0,4
1,9;8;12;0,666666667
2;18;12;1,5
2,1;15;12;1,25
2,2;10;11;0,909090909
2,3;6;11;0,545454545
2,4;19;11;1,727272727
2,5;17;11;1,545454545
2,6;6;11;0,545454545
2,7;5;11;0,454545455
2,8;10;10;1
2,9;5;10;0,5
3;5;10;0,5
3,1;18;10;1,8
3,2;6;10;0,6
3,3;7;10;0,7
3,4;7;10;0,7
3,5;18;10;1,8
3,6;5;10;0,5
3,7;11;9;1,222222222
3,8;20;9;2,222222222
3,9;7;9;0,777777778
4;18;9;2
4,1;12;9;1,333333333
4,3;17;9;1,888888889
4,5;5;9;0,555555556
4,6;19;9;2,111111111
4,8;18;9;2
5;15;9;1,666666667
1,1;9;4126;0,002181289
1,2;9;546;0,016483516
1,3;12;105;0,114285714
1,4;11;74;0,148648649
1,5;11;59;0,186440678
1,6;9;38;0,236842105
1,7;12;38;0,315789474
1,8;13;31;0,419354839
1,9;13;31;0,419354839
2;12;28;0,428571429
2,1;38;28;1,357142857
2,2;49;25;1,96
2,3;14;25;0,56
2,4;52;22;2,363636364
2,5;27;22;1,227272727
2,6;9;22;0,409090909
2,7;57;22;2,590909091
2,8;12;21;0,571428571
2,9;33;21;1,571428571
3;26;21;1,238095238
3,1;56;21;2,666666667
3,2;64;20;3,2
3,3;53;20;2,65
3,4;9;20;0,45
3,5;16;20;0,8
3,6;46;20;2,3
3,7;26;20;1,3
3,8;13;20;0,65
3,9;32;19;1,684210526
4;63;19;3,315789474
4,1;24;19;1,263157895
4,3;53;19;2,789473684
4,5;58;19;3,052631579
4,6;62;19;3,263157895
4,8;42;18;2,333333333
5;49;18;2,722222222
1,1;3;127;0,023622047
1,2;5;34;0,147058824
1,3;3;19;0,157894737
1,4;4;15;0,266666667
1,5;3;15;0,2
1,6;5;12;0,416666667
1,7;4;10;0,4
1,8;4;9;0,444444444
1,9;3;9;0,333333333
2;6;9;0,666666667
2,1;3;9;0,333333333
2,2;3;9;0,333333333
2,3;4;8;0,5
2,4;8;8;1
2,5;3;8;0,375
2,6;5;8;0,625
2,7;3;8;0,375
2,8;4;8;0,5
2,9;3;8;0,375
3;3;8;0,375
3,1;4;7;0,571428571
3,2;5;7;0,714285714
3,3;8;7;1,142857143
3,4;4;7;0,571428571
3,5;4;7;0,571428571
3,6;4;7;0,571428571
3,7;5;7;0,714285714
3,8;5;7;0,714285714
3,9;7;7;1
4;3;7;0,428571429
4,1;7;7;1
4,3;5;7;0,714285714
