Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
165,karger_recursive,47,0,2304
165,karger_improved,47,12,30
165,karger,47,3,15
166,karger_recursive,99,0,1920
166,karger_improved,99,13,28
166,karger,99,52,14
167,karger_recursive,77,1,11340
167,karger_improved,77,5,54
167,karger,77,28,27
168,karger_recursive,8,0,48
168,karger_improved,8,2,6
168,karger,8,4,3
169,karger_recursive,44,0,600
169,karger_improved,44,23,18
169,karger,44,18,9
170,karger_recursive,192,10,8112
170,karger_improved,192,17,48
170,karger,192,96,24
171,karger_recursive,7,0,1134
171,karger_improved,7,0,14
171,karger,7,0,7
172,karger_recursive,162,8,8112
172,karger_improved,162,76,48
172,karger,162,80,24
173,karger_recursive,124,4,9100
173,karger_improved,124,14,50
173,karger,124,31,25
174,karger_recursive,25,0,3960
174,karger_improved,25,0,36
174,karger,25,0,18
175,karger_recursive,30,0,600
175,karger_improved,30,13,18
175,karger,30,12,9
176,karger_recursive,350,21,10192
176,karger_improved,350,146,52
176,karger,350,138,26
177,karger_recursive,41,0,9100
177,karger_improved,41,0,50
177,karger,41,0,25
178,karger_recursive,2,0,24
178,karger_improved,2,0,4
178,karger,2,0,2
179,karger_recursive,235,12,10192
179,karger_improved,235,15,52
179,karger,235,59,26
180,karger_recursive,2,0,8
180,karger_improved,2,1,2
180,karger,2,1,1
181,karger_recursive,8,0,3136
181,karger_improved,8,0,16
181,karger,8,0,8
182,karger_recursive,12,0,1782
182,karger_improved,12,0,22
182,karger,12,0,11
183,karger_recursive,317,23,8112
183,karger_improved,317,45,48
183,karger,317,128,24
184,karger_recursive,31,0,2160
184,karger_improved,31,0,30
184,karger,31,0,15
185,karger_recursive,46,0,1274
185,karger_improved,46,15,24
185,karger,46,23,12
186,karger_recursive,0,-1,0
186,karger_improved,0,0,0
186,karger,0,0,0
187,karger_recursive,23,4,192
187,karger_improved,23,10,12
187,karger,23,11,6
188,karger_recursive,3,0,8
188,karger_improved,3,2,2
188,karger,3,2,1
189,karger_recursive,126,0,3800
189,karger_improved,126,42,36
189,karger,126,34,18
190,karger_recursive,136,3,12600
190,karger_improved,136,6,56
190,karger,136,3,28
191,karger_recursive,5,0,360
191,karger_improved,5,0,10
191,karger,5,0,5
192,karger_recursive,1,0,4
192,karger_improved,1,0,2
192,karger,1,0,1
193,karger_recursive,0,-1,0
193,karger_improved,0,0,0
193,karger,0,0,0
194,karger_recursive,28,3,400
194,karger_improved,28,11,16
194,karger,28,15,8
195,karger_recursive,95,1,7176
195,karger_improved,95,28,46
195,karger,95,1,23
196,karger_recursive,20,0,792
196,karger_improved,20,1,20
196,karger,20,1,10
197,karger_recursive,62,0,3800
197,karger_improved,62,8,36
197,karger,62,8,18
198,karger_recursive,109,0,1920
198,karger_improved,109,52,28
198,karger,109,15,14
199,karger_recursive,27,0,600
199,karger_improved,27,3,18
199,karger,27,3,9
200,karger_recursive,214,10,12600
200,karger_improved,214,74,56
200,karger,214,102,28
