Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
4,karger_recursive_a1.5_b64,14,2,384
4,karger_recursive_a1.6_b8,14,0,56
4,karger_recursive_a1.6_b16,14,0,112
4,karger_recursive_a1.6_b24,14,0,168
4,karger_recursive_a1.6_b32,14,0,224
4,karger_recursive_a1.6_b40,14,0,280
4,karger_recursive_a1.6_b48,14,0,336
4,karger_recursive_a1.6_b56,14,0,392
4,karger_recursive_a1.6_b64,14,0,448
4,karger_recursive_a1.7_b8,14,2,48
4,karger_recursive_a1.7_b16,14,2,96
4,karger_recursive_a1.7_b24,14,2,144
4,karger_recursive_a1.7_b32,14,2,192
4,karger_recursive_a1.7_b40,14,2,240
4,karger_recursive_a1.7_b48,14,2,288
4,karger_recursive_a1.7_b56,14,2,336
4,karger_recursive_a1.7_b64,14,2,384
4,karger_recursive_a1.8_b8,14,3,48
4,karger_recursive_a1.8_b16,14,3,96
4,karger_recursive_a1.8_b24,14,2,144
4,karger_recursive_a1.8_b32,14,2,192
4,karger_recursive_a1.8_b40,14,2,240
4,karger_recursive_a1.8_b48,14,2,288
4,karger_recursive_a1.8_b56,14,2,336
4,karger_recursive_a1.8_b64,14,2,384
4,karger_recursive_a1.9_b8,14,3,48
4,karger_recursive_a1.9_b16,14,2,96
4,karger_recursive_a1.9_b24,14,2,144
4,karger_recursive_a1.9_b32,14,2,192
4,karger_recursive_a1.9_b40,14,2,240
4,karger_recursive_a1.9_b48,14,2,288
4,karger_recursive_a1.9_b56,14,2,336
4,karger_recursive_a1.9_b64,14,2,384
4,karger_recursive_a2.0_b8,14,3,48
4,karger_recursive_a2.0_b16,14,2,96
4,karger_recursive_a2.0_b24,14,2,144
4,karger_recursive_a2.0_b32,14,3,192
4,karger_recursive_a2.0_b40,14,2,240
4,karger_recursive_a2.0_b48,14,2,288
4,karger_recursive_a2.0_b56,14,2,336
4,karger_recursive_a2.0_b64,14,2,384
5,karger_recursive_a1.1_b14,24,2,168
5,karger_recursive_a1.1_b28,24,2,336
5,karger_recursive_a1.1_b42,24,2,504
5,karger_recursive_a1.1_b56,24,2,672
5,karger_recursive_a1.1_b70,24,2,840
5,karger_recursive_a1.1_b84,24,2,1008
5,karger_recursive_a1.1_b98,24,2,1176
5,karger_recursive_a1.1_b112,24,2,1344
5,karger_recursive_a1.1_b126,24,2,1512
5,karger_recursive_a1.1_b140,24,2,1680
5,karger_recursive_a1.1_b154,24,2,1848
5,karger_recursive_a1.1_b168,24,2,2016
5,karger_recursive_a1.1_b182,24,2,2184
5,karger_recursive_a1.1_b196,24,2,2352
5,karger_recursive_a1.2_b14,24,2,168
5,karger_recursive_a1.2_b28,24,2,336
5,karger_recursive_a1.2_b42,24,2,504
5,karger_recursive_a1.2_b56,24,2,672
5,karger_recursive_a1.2_b70,24,2,840
5,karger_recursive_a1.2_b84,24,2,1008
5,karger_recursive_a1.2_b98,24,2,1176
5,karger_recursive_a1.2_b112,24,2,1344
5,karger_recursive_a1.2_b126,24,2,1512
5,karger_recursive_a1.2_b140,24,2,1680
5,karger_recursive_a1.2_b154,24,2,1848
5,karger_recursive_a1.2_b168,24,2,2016
5,karger_recursive_a1.2_b182,24,2,2184
5,karger_recursive_a1.2_b196,24,2,2352
5,karger_recursive_a1.3_b14,24,2,168
5,karger_recursive_a1.3_b28,24,2,336
5,karger_recursive_a1.3_b42,24,2,504
5,karger_recursive_a1.3_b56,24,2,672
5,karger_recursive_a1.3_b70,24,2,840
5,karger_recursive_a1.3_b84,24,2,1008
5,karger_recursive_a1.3_b98,24,2,1176
5,karger_recursive_a1.3_b112,24,2,1344
5,karger_recursive_a1.3_b126,24,2,1512
5,karger_recursive_a1.3_b140,24,2,1680
5,karger_recursive_a1.3_b154,24,2,1848
5,karger_recursive_a1.3_b168,24,2,2016
5,karger_recursive_a1.3_b182,24,2,2184
5,karger_recursive_a1.3_b196,24,2,2352
5,karger_recursive_a1.4_b14,24,2,168
5,karger_recursive_a1.4_b28,24,2,336
5,karger_recursive_a1.4_b42,24,2,504
5,karger_recursive_a1.4_b56,24,2,672
5,karger_recursive_a1.4_b70,24,2,840
5,karger_recursive_a1.4_b84,24,2,1008
5,karger_recursive_a1.4_b98,24,2,1176
5,karger_recursive_a1.4_b112,24,2,1344
5,karger_recursive_a1.4_b126,24,2,1512
5,karger_recursive_a1.4_b140,24,2,1680
5,karger_recursive_a1.4_b154,24,2,1848
5,karger_recursive_a1.4_b168,24,2,2016
5,karger_recursive_a1.4_b182,24,2,2184
5,karger_recursive_a1.4_b196,24,2,2352
5,karger_recursive_a1.5_b14,24,2,168
5,karger_recursive_a1.5_b28,24,2,336
5,karger_recursive_a1.5_b42,24,2,504
5,karger_recursive_a1.5_b56,24,2,672
5,karger_recursive_a1.5_b70,24,2,840
5,karger_recursive_a1.5_b84,24,2,1008
5,karger_recursive_a1.5_b98,24,2,1176
5,karger_recursive_a1.5_b112,24,2,1344
5,karger_recursive_a1.5_b126,24,2,1512
5,karger_recursive_a1.5_b140,24,2,1680
5,karger_recursive_a1.5_b154,24,2,1848
5,karger_recursive_a1.5_b168,24,2,2016
5,karger_recursive_a1.5_b182,24,2,2184
5,karger_recursive_a1.5_b196,24,2,2352
5,karger_recursive_a1.6_b14,24,0,182
5,karger_recursive_a1.6_b28,24,0,364
5,karger_recursive_a1.6_b42,24,0,546
5,karger_recursive_a1.6_b56,24,0,728
5,karger_recursive_a1.6_b70,24,0,910
5,karger_recursive_a1.6_b84,24,0,1092
5,karger_recursive_a1.6_b98,24,0,1274
5,karger_recursive_a1.6_b112,24,0,1456
5,karger_recursive_a1.6_b126,24,0,1638
5,karger_recursive_a1.6_b140,24,0,1820
5,karger_recursive_a1.6_b154,24,0,2002
5,karger_recursive_a1.6_b168,24,0,2184
5,karger_recursive_a1.6_b182,24,0,2366
5,karger_recursive_a1.6_b196,24,0,2548
5,karger_recursive_a1.7_b14,24,2,168
5,karger_recursive_a1.7_b28,24,2,336
5,karger_recursive_a1.7_b42,24,2,504
5,karger_recursive_a1.7_b56,24,2,672
5,karger_recursive_a1.7_b70,24,2,840
5,karger_recursive_a1.7_b84,24,2,1008
5,karger_recursive_a1.7_b98,24,2,1176
5,karger_recursive_a1.7_b112,24,2,1344
5,karger_recursive_a1.7_b126,24,2,1512
5,karger_recursive_a1.7_b140,24,2,1680
5,karger_recursive_a1.7_b154,24,2,1848
5,karger_recursive_a1.7_b168,24,2,2016
5,karger_recursive_a1.7_b182,24,2,2184
5,karger_recursive_a1.7_b196,24,2,2352
5,karger_recursive_a1.8_b14,24,0,182
5,karger_recursive_a1.8_b28,24,0,364
5,karger_recursive_a1.8_b42,24,0,546
5,karger_recursive_a1.8_b56,24,0,728
5,karger_recursive_a1.8_b70,24,0,910
5,karger_recursive_a1.8_b84,24,0,1092
5,karger_recursive_a1.8_b98,24,0,1274
5,karger_recursive_a1.8_b112,24,0,1456
5,karger_recursive_a1.8_b126,24,0,1638
5,karger_recursive_a1.8_b140,24,0,1820
5,karger_recursive_a1.8_b154,24,0,2002
5,karger_recursive_a1.8_b168,24,0,2184
5,karger_recursive_a1.8_b182,24,0,2366
5,karger_recursive_a1.8_b196,24,0,2548
5,karger_recursive_a1.9_b14,24,0,182
5,karger_recursive_a1.9_b28,24,0,364
5,karger_recursive_a1.9_b42,24,0,546
5,karger_recursive_a1.9_b56,24,0,728
5,karger_recursive_a1.9_b70,24,0,910
5,karger_recursive_a1.9_b84,24,0,1092
5,karger_recursive_a1.9_b98,24,0,1274
5,karger_recursive_a1.9_b112,24,0,1456
5,karger_recursive_a1.9_b126,24,0,1638
5,karger_recursive_a1.9_b140,24,0,1820
5,karger_recursive_a1.9_b154,24,0,2002
5,karger_recursive_a1.9_b168,24,0,2184
5,karger_recursive_a1.9_b182,24,0,2366
5,karger_recursive_a1.9_b196,24,0,2548
5,karger_recursive_a2.0_b14,24,0,182
5,karger_recursive_a2.0_b28,24,0,364
5,karger_recursive_a2.0_b42,24,0,546
5,karger_recursive_a2.0_b56,24,0,728
5,karger_recursive_a2.0_b70,24,0,910
5,karger_recursive_a2.0_b84,24,0,1092
5,karger_recursive_a2.0_b98,24,0,1274
5,karger_recursive_a2.0_b112,24,0,1456
5,karger_recursive_a2.0_b126,24,0,1638
5,karger_recursive_a2.0_b140,24,0,1820
5,karger_recursive_a2.0_b154,24,0,2002
5,karger_recursive_a2.0_b168,24,0,2184
5,karger_recursive_a2.0_b182,24,0,2366
5,karger_recursive_a2.0_b196,24,0,2548
6,karger_recursive_a1.1_b12,2,0,24
6,karger_recursive_a1.1_b24,2,0,48
6,karger_recursive_a1.1_b36,2,0,72
6,karger_recursive_a1.1_b48,2,0,96
6,karger_recursive_a1.1_b60,2,0,120
6,karger_recursive_a1.1_b72,2,0,144
6,karger_recursive_a1.1_b84,2,0,168
6,karger_recursive_a1.1_b96,2,0,192
6,karger_recursive_a1.1_b108,2,0,216
6,karger_recursive_a1.1_b120,2,0,240
6,karger_recursive_a1.1_b132,2,0,264
6,karger_recursive_a1.1_b144,2,0,288
6,karger_recursive_a1.2_b12,2,0,24
6,karger_recursive_a1.2_b24,2,0,48
6,karger_recursive_a1.2_b36,2,0,72
6,karger_recursive_a1.2_b48,2,0,96
6,karger_recursive_a1.2_b60,2,0,120
6,karger_recursive_a1.2_b72,2,0,144
6,karger_recursive_a1.2_b84,2,0,168
6,karger_recursive_a1.2_b96,2,0,192
6,karger_recursive_a1.2_b108,2,0,216
6,karger_recursive_a1.2_b120,2,0,240
6,karger_recursive_a1.2_b132,2,0,264
6,karger_recursive_a1.2_b144,2,0,288
6,karger_recursive_a1.3_b12,2,0,24
6,karger_recursive_a1.3_b24,2,0,48
6,karger_recursive_a1.3_b36,2,0,72
6,karger_recursive_a1.3_b48,2,0,96
6,karger_recursive_a1.3_b60,2,0,120
6,karger_recursive_a1.3_b72,2,0,144
6,karger_recursive_a1.3_b84,2,0,168
6,karger_recursive_a1.3_b96,2,0,192
6,karger_recursive_a1.3_b108,2,0,216
6,karger_recursive_a1.3_b120,2,0,240
6,karger_recursive_a1.3_b132,2,0,264
6,karger_recursive_a1.3_b144,2,0,288
6,karger_recursive_a1.4_b12,2,0,24
6,karger_recursive_a1.4_b24,2,0,48
6,karger_recursive_a1.4_b36,2,0,72
6,karger_recursive_a1.4_b48,2,0,96
6,karger_recursive_a1.4_b60,2,0,120
6,karger_recursive_a1.4_b72,2,0,144
6,karger_recursive_a1.4_b84,2,0,168
6,karger_recursive_a1.4_b96,2,0,192
6,karger_recursive_a1.4_b108,2,0,216
6,karger_recursive_a1.4_b120,2,0,240
6,karger_recursive_a1.4_b132,2,0,264
6,karger_recursive_a1.4_b144,2,0,288
6,karger_recursive_a1.5_b12,2,0,24
6,karger_recursive_a1.5_b24,2,0,48
6,karger_recursive_a1.5_b36,2,0,72
6,karger_recursive_a1.5_b48,2,0,96
6,karger_recursive_a1.5_b60,2,0,120
6,karger_recursive_a1.5_b72,2,0,144
6,karger_recursive_a1.5_b84,2,0,168
6,karger_recursive_a1.5_b96,2,0,192
6,karger_recursive_a1.5_b108,2,0,216
6,karger_recursive_a1.5_b120,2,0,240
6,karger_recursive_a1.5_b132,2,0,264
6,karger_recursive_a1.5_b144,2,0,288
